1,4936,2984,1487,985,1232,900
2,4880,2958,1474,984,1214,885
3,4817,2932,1481,978,1195,877
4,4755,2914,1483,962,1179,866
5,4712,2897,1486,942,1170,855
6,4661,2875,1467,934,1153,859
7,4615,2852,1457,926,1141,862
8,4567,2831,1440,916,1135,853
9,4502,2814,1430,895,1117,847
10,4441,2798,1415,879,1103,841
11,4390,2782,1394,869,1095,844
12,4323,2762,1376,848,1097,835
13,4262,2744,1359,828,1078,838
14,4215,2725,1350,808,1065,846
15,4160,2708,1339,792,1046,844
16,4112,2690,1342,785,1026,827
17,4038,2667,1349,768,1017,811
18,3979,2648,1341,753,1025,790
19,3939,2626,1330,737,1015,795
20,3886,2610,1315,724,1013,785
21,3825,2591,1300,711,1018,769
22,3773,2573,1292,710,1000,749
23,3724,2553,1279,704,991,753
24,3661,2527,1262,712,970,741
25,3607,2506,1271,698,951,726
26,3560,2483,1254,686,944,726
27,3506,2459,1247,666,923,724
28,3447,2442,1238,655,913,731
29,3381,2417,1231,634,901,731
30,3330,2396,1220,619,908,711
31,3267,2380,1205,604,895,711
32,3198,2355,1186,611,889,703
33,3130,2330,1179,599,881,711
34,3087,2304,1181,582,863,696
35,3023,2281,1181,567,842,689
36,2945,2263,1165,549,830,687
37,2871,2237,1152,540,820,690
38,2814,2211,1143,532,818,671
39,2761,2187,1122,525,798,680
40,2701,2161,1105,516,797,674
41,2643,2139,1087,501,803,662
42,2584,2117,1069,489,805,641
43,2536,2096,1058,476,793,644
44,2465,2072,1063,470,781,625
45,2398,2047,1052,458,781,610
46,2348,2023,1043,445,766,612
47,2282,2003,1024,432,759,606
48,2219,1982,1011,419,739,605
49,2165,1962,991,406,719,612
50,2105,1942,975,399,712,618
51,2053,1922,961,386,713,602
52,1988,1905,953,376,693,610
53,1917,1880,938,365,674,604
54,1868,1860,919,347,669,583
55,1812,1840,905,328,659,583
56,1752,1818,905,319,649,575
57,1691,1792,888,313,639,584
58,1629,1774,869,320,622,573
59,1554,1755,860,301,601,581
60,1483,1735,839,285,608,564
61,1427,1714,833,264,597,549
62,1358,1695,826,250,585,545
63,1294,1669,814,235,576,548
64,1240,1643,802,220,562,556
65,1192,1618,786,203,548,552
66,1126,1599,771,190,531,557
67,1062,1575,774,184,524,547
68,996,1550,760,175,504,542
69,948,1531,747,160,499,532
70,894,1505,734,150,483,536
71,842,1479,718,139,464,544
72,795,1453,700,131,450,541
73,739,1430,682,122,459,521
74,685,1407,666,111,450,518
75,639,1387,646,90,443,522
76,566,1370,626,83,435,527
77,487,1344,619,78,422,521
78,427,1319,601,64,407,519
79,375,1299,595,51,392,501
80,317,1273,598,38,377,481
81,263,1256,587,29,369,477
82,209,1237,574,14,350,473
83,160,1215,570,0,341,464
