1,4943,2976,1486,994,1233,898
2,4884,2957,1471,986,1219,892
3,4811,2932,1451,971,1201,891
4,4744,2911,1444,973,1189,881
5,4700,2887,1436,952,1197,870
6,4655,2861,1430,932,1189,858
7,4602,2842,1436,925,1172,838
8,4548,2819,1421,911,1153,839
9,4475,2803,1415,902,1145,843
10,4409,2777,1402,881,1144,822
11,4353,2760,1394,864,1145,816
12,4304,2735,1386,848,1126,813
13,4244,2709,1376,829,1113,814
14,4186,2689,1360,811,1117,797
15,4114,2669,1346,805,1122,776
16,4043,2651,1327,811,1111,762
17,3980,2634,1319,792,1096,761
18,3921,2614,1312,792,1080,748
19,3866,2590,1294,785,1065,746
20,3812,2573,1286,771,1047,753
21,3744,2552,1276,759,1051,742
22,3692,2527,1278,748,1037,734
23,3619,2509,1259,742,1027,729
24,3550,2491,1255,733,1010,709
25,3494,2469,1234,716,999,711
26,3434,2453,1215,710,993,708
27,3383,2433,1195,704,987,688
28,3334,2414,1175,696,991,667
29,3279,2390,1169,688,985,648
30,3217,2366,1154,682,967,637
31,3148,2342,1139,684,951,616
32,3086,2320,1131,676,956,598
33,3013,2298,1120,669,943,595
34,2954,2278,1106,663,925,603
35,2881,2257,1100,658,905,589
36,2821,2233,1097,640,891,568
37,2752,2207,1084,637,885,553
38,2703,2185,1072,630,868,553
39,2636,2163,1060,615,847,555
40,2589,2137,1043,605,849,534
41,2540,2116,1027,592,832,539
42,2494,2091,1012,594,818,524
43,2433,2068,997,580,803,532
44,2370,2042,979,569,783,529
45,2316,2025,958,549,773,527
46,2270,2003,950,543,756,516
47,2221,1984,930,530,742,512
48,2166,1967,918,532,721,497
49,2085,1949,927,512,715,480
50,2022,1930,914,506,699,487
51,1951,1914,915,488,682,467
52,1877,1889,899,473,689,457
53,1815,1864,907,462,675,447
54,1752,1848,899,462,659,436
55,1687,1825,880,442,639,444
56,1626,1808,877,432,626,436
57,1561,1790,861,415,630,428
58,1509,1765,852,399,614,437
59,1450,1739,842,393,603,435
60,1388,1713,832,379,582,439
61,1325,1693,813,362,590,428
62,1263,1668,798,345,569,424
63,1206,1650,792,339,568,408
64,1141,1625,778,327,557,413
65,1082,1605,759,318,564,406
66,1015,1588,745,304,545,405
67,955,1569,735,294,527,413
68,904,1550,739,278,507,403
69,863,1534,744,269,501,383
70,792,1512,725,257,480,377
71,726,1514,717,239,474,378
72,670,1488,696,221,455,395
73,615,1467,688,203,467,381
74,560,1475,680,191,456,381
75,493,1477,663,173,444,384
76,434,1481,646,156,446,373
77,392,1486,646,150,432,357
78,316,1469,634,156,412,366
79,270,1450,643,145,405,370
80,206,1424,623,146,386,364
81,146,1433,604,138,369,364
82,103,1437,611,131,363,357
83,33,1421,599,140,351,348
84,-37,1380,582,136,337,351
