1,4943,2982,1488,986,1239,900
2,4898,2964,1473,965,1236,891
3,4845,2945,1452,959,1219,895
4,4792,2925,1445,940,1228,889
5,4726,2900,1426,924,1207,894
6,4673,2876,1414,911,1214,881
7,4621,2854,1405,898,1193,882
8,4569,2833,1387,878,1186,888
9,4504,2806,1367,858,1177,895
10,4436,2775,1353,867,1170,880
11,4368,2753,1342,853,1158,882
12,4312,2721,1330,840,1142,886
13,4247,2695,1321,848,1125,878
14,4186,2663,1315,841,1111,866
15,4133,2636,1300,833,1094,867
16,4082,2610,1284,834,1083,855
17,4030,2579,1273,820,1072,855
18,3974,2548,1260,812,1053,864
19,3918,2513,1244,799,1040,863
20,3846,2477,1228,779,1023,858
21,3777,2443,1232,771,1012,846
22,3707,2414,1234,764,993,829
23,3652,2376,1225,752,980,838
24,3590,2345,1219,744,967,837
25,3540,2306,1202,753,957,819
26,3480,2265,1209,744,947,811
27,3424,2233,1211,737,928,798
28,3362,2200,1193,728,913,805
29,3286,2166,1172,718,899,810
30,3237,2130,1158,705,906,793
31,3168,2090,1148,691,901,777
32,3105,2055,1136,690,889,765
33,3037,2015,1124,683,880,770
34,2987,1973,1104,675,862,772
35,2913,1932,1097,667,858,759
36,2866,1891,1085,661,841,754
37,2811,1853,1073,665,821,746
38,2752,1814,1070,652,815,736
39,2697,1766,1058,638,795,743
40,2631,1725,1040,637,780,734
41,2574,1678,1037,629,774,724
42,2511,1634,1036,619,755,707
43,2440,1582,1016,613,736,709
44,2368,1536,1025,603,716,703
45,2321,1487,1010,586,705,698
46,2261,1440,1013,571,699,680
47,2208,1388,1007,560,691,676
48,2139,1336,989,545,680,685
49,2077,1281,977,550,659,670
50,2021,1230,961,542,653,658
51,1965,1176,965,535,637,637
52,1912,1127,953,542,626,622
53,1874,1079,934,535,634,613
54,1819,1029,939,520,622,604
55,1766,980,936,505,609,590
56,1712,923,917,493,601,584
57,1645,865,900,494,591,568
58,1583,805,884,480,594,560
59,1519,749,867,469,573,564
60,1470,695,876,460,560,555
61,1410,637,856,445,561,535
62,1351,582,858,427,553,524
63,1279,523,846,427,536,512
64,1217,465,836,436,527,493
65,1163,410,823,430,514,483
66,1094,354,805,415,521,466
67,1022,295,790,401,502,471
68,955,231,779,385,495,478
69,900,173,772,394,480,457
70,834,107,776,375,468,437
71,782,45,761,380,455,417
72,728,-16,752,378,445,405
